ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
298600699;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.97;2/16;5445440;;https://www.cian.ru/sale/flat/298600699
298599926;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.97;2/16;5445440;;https://www.cian.ru/sale/flat/298599926
298600052;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.25;14/16;5484180;;https://www.cian.ru/sale/flat/298600052
298600013;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.25;12/16;5484180;;https://www.cian.ru/sale/flat/298600013
298600001;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.25;11/16;5484180;;https://www.cian.ru/sale/flat/298600001
298600236;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.25;12/16;5484180;;https://www.cian.ru/sale/flat/298600236
298599838;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;11/16;5482600;;https://www.cian.ru/sale/flat/298599838
298599414;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;39.96;2/16;5482080;;https://www.cian.ru/sale/flat/298599414
298599868;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;13/16;5482600;;https://www.cian.ru/sale/flat/298599868
298599621;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;35.85;15/16;5489600;;https://www.cian.ru/sale/flat/298599621
298599593;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;35.85;14/16;5489600;;https://www.cian.ru/sale/flat/298599593
298599540;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;35.85;12/16;5489600;;https://www.cian.ru/sale/flat/298599540
298599522;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;35.85;11/16;5489600;;https://www.cian.ru/sale/flat/298599522
298599665;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;40.06;2/16;5496480;;https://www.cian.ru/sale/flat/298599665
298599885;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;14/16;5482600;;https://www.cian.ru/sale/flat/298599885
298599855;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;12/16;5482600;;https://www.cian.ru/sale/flat/298599855
298599823;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;10/16;5482600;;https://www.cian.ru/sale/flat/298599823
298600613;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;15/16;5482600;;https://www.cian.ru/sale/flat/298600613
298600586;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;14/16;5482600;;https://www.cian.ru/sale/flat/298600586
298600560;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;13/16;5482600;;https://www.cian.ru/sale/flat/298600560
298600540;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;12/16;5482600;;https://www.cian.ru/sale/flat/298600540
298600522;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.24;11/16;5482600;;https://www.cian.ru/sale/flat/298600522
298600383;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.73;3/16;5486800;;https://www.cian.ru/sale/flat/298600383
298600371;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;40.06;2/16;5458310;;https://www.cian.ru/sale/flat/298600371
298600344;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;35.85;16/16;5489600;;https://www.cian.ru/sale/flat/298600344
